,,,,,,
Statistic          , Half 1,Half 2,Pooled,,,
Total Trials       ,320,320,640,,,
Correct Targets    ,72,248,320,,,
Correct Foils      ,247,72,319,,,
Correct Trials     ,319,320,639,,,
Commission Errors  ,1,0,1,,,
Ommission Errors   ,0,0,0,,,
Correct RT Mean    ,415,398,402,,,
Error RT Mean      ,462,-2147483648,462,,,
RT Mean            ,416,398,402,,,
RT SD              ,71,71,72,,,
Anticipations      ,0,0,0,,,
Multiple Responses ,0,1,1,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
